,Hotel,Address,Score,Latitude,Longitude
417,Hotel Monceau Wagram,7 Rue Rennequin 17th arr 75017 Paris France,7.9,48.8808779,2.2989756
418,Novotel London Excel,7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,8.5,51.5077198,0.0229805
419,Mercure London Bridge,71 79 Southwark Street Southwark London SE1 0JA United Kingdom,8.5,51.5052587,-0.099176
420,Les Jardins Du Marais,74 rue Amelot 11th arr 75011 Paris France,8.1,48.8605219,2.3680239
422,Hotel Cavendish,75 Gower Street Camden London WC1E 6HJ United Kingdom,6.4,51.5220522,-0.132414
424,Shaftesbury Metropolis London Hyde Park,78 84 Sussex Gardens Westminster Borough London W2 1UH United Kingdom,7.7,51.5166887,-0.1706147
425,Mercure London Hyde Park,8 14 Talbot Sq Paddington Westminster Borough London W2 1TS United Kingdom,8.6,51.5151149,-0.1743857
429,The Grand at Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,8.3,51.506935,-0.126012
433,Club Quarters Hotel Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,8.5,51.506935,-0.126012
436,Novotel Paris Les Halles,8 Place Marguerite de Navarre 1st arr 75001 Paris France,8.4,48.8607299,2.3465326
438,H tel Le Bellechasse Saint Germain,8 Rue De Bellechasse 7th arr 75007 Paris France,8.7,48.8597024,2.3239701
439,The Belgrave Hotel,80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,8.6,51.4901051,-0.1381355
441,TheWesley,81 103 Euston Street Camden London NW1 2EZ United Kingdom,8,51.5265353,-0.1361682
443,The Hoxton Shoreditch,81 Great Eastern Street Islington London EC2A 3HU United Kingdom,9,51.5255136,-0.082927
444,Hotel 82 London,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,7.5,51.5195857,-0.1584803
445,Best Western Plus Seraphine Hammersmith Hotel,84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,7.8,51.4926269,-0.2288598
446,The Zetter Hotel,86 88 Clerkenwell Road Islington London EC1M 5RJ United Kingdom,8.9,51.522672,-0.1036841
447,88 Studios,88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,8.4,51.4992789,-0.2090733
448,Radisson Blu Edwardian Bloomsbury Street,9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,8.6,51.517608,-0.1276253
451,Hotel Moonlight,9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,9,51.4940285,-0.1910497
453,DoubleTree by Hilton London West End,92 Southampton Row Camden London WC1B 4BH United Kingdom,8.3,51.5201065,-0.1221393
454,Holiday Inn London Kensington Forum,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,7.8,51.4942305,-0.1851141
457,Radisson Blu Edwardian Kenilworth,97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,8.2,51.5179725,-0.1280495
458,H tel Monna Lisa Champs Elys es,97 rue La Bo tie 8th arr 75008 Paris France,8.7,48.874853,2.3245798
459,Melia White House Hotel,Albany Street London NW1 3UP United Kingdom,8.3,51.5298597,-0.1444623
462,The Waldorf Hilton,Aldwych Westminster Borough London WC2B 4DD United Kingdom,8.4,51.5131979,-0.1174504
464,Corendon Vitality Hotel Amsterdam,Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,8.4,52.3466449,4.8310984
465,Hotel Am Konzerthaus Vienna MGallery by Sofitel,Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,8.6,48.1996129,16.3773546
466,Hilton Vienna,Am Stadtpark 1 03 Landstra e 1030 Vienna Austria,8,48.2062268,16.3833767
467,Catalonia Port,Ample 1 Pla a Duc de Medinaceli Ciutat Vella 08002 Barcelona Spain,8.8,41.378751,2.17873
468,Schlosshotel R mischer Kaiser,Annagasse 16 01 Innere Stadt 1010 Vienna Austria,8.9,48.2040859,16.3725046
469,Apollofirst Boutique Hotel,Apollolaan 123 125 Oud Zuid 1077 AP Amsterdam Netherlands,8.5,52.350396,4.8756404
470,Apollo Hotel Amsterdam,Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,8.2,52.3486098,4.8844292
472,Urban Lodge Hotel,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,8.6,52.3856494,4.834443
474,Barcelona Princess,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,8.3,41.4109715,2.2186535
475,Novotel Barcelona City,Avenida Diagonal 201 Sant Mart 08018 Barcelona Spain,8.4,41.4038774,2.1911894
477,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Avenida Diagonal 555 Les Corts 08029 Barcelona Spain,8.6,41.3899609,2.135684
478,Pullman Barcelona Skipper,Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,8.6,41.3860183,2.19473
480,Catalonia Atenas,Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain,7.9,41.4110056,2.1866009
485,H10 Itaca,Avenida Roma 22 30 Eixample 08015 Barcelona Spain,8.2,41.3810311,2.1455516
486,Melia Barcelona Sarri ,Avenida Sarri 50 Les Corts 08029 Barcelona Spain,8.1,41.391058,2.141706
487,Hotel SB Icaria Barcelona,Avinguda Icaria 195 Sant Mart 08005 Barcelona Spain,8,41.3935591,2.1993915
488,Catalonia Diagonal Centro,Balmes 142 146 Eixample 08008 Barcelona Spain,8.1,41.3938632,2.1568039
489,Catalonia Plaza Catalunya,Bergara 11 Eixample 08002 Barcelona Spain,8.6,41.3865289,2.1682919
491,Thistle Holborn The Kingsley,Bloomsbury Way Camden London WC1A 2SD United Kingdom,8.5,51.5179659,-0.1234343
493,Petit Palace Boqueria Garden,Boquer a 10 Ciutat Vella 08002 Barcelona Spain,8.5,41.3812223,2.1739622
495,TWO Hotel Barcelona by Axel 4 Sup Adults Only,Calabria 90 92 Eixample 08015 Barcelona Spain,8.8,41.37913,2.1561186
496,Hotel Barcelona Catedral,Capellans 4 Ciutat Vella 08002 Barcelona Spain,8.9,41.384829,2.1751277
497,Holiday Inn London Regent s Park,Carburton Street Westminster Borough London W1W 5EE United Kingdom,8.2,51.5222472,-0.1426128
501,Senator Barcelona Spa Hotel,Cardenal Reig 11 Les Corts 08028 Barcelona Spain,7.7,41.3777977,2.1135971
502,Thistle Euston,Cardington Street Euston Camden London NW1 2LP United Kingdom,8.3,51.5291423,-0.1372782
507,Room Mate Anna,Carrer de Arag 271 Eixample 08007 Barcelona Spain,9.1,41.3929366,2.1653954
508,Gran Hotel La Florida,Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,8.7,41.4253332,2.1211028
510,Doubletree By Hilton London Greenwich,Catherine Grove Greenwich Greenwich London SE10 8BB United Kingdom,8.8,51.474469,-0.019428
512,The Chelsea Harbour Hotel,Chelsea Harbour Hammersmith and Fulham London SW10 0XG United Kingdom,8.6,51.4756558,-0.1813888
513,Holiday Inn London Bloomsbury,Coram Street Camden London WC1N 1HT United Kingdom,8.2,51.5241248,-0.1258066
515,The Mirror Barcelona,Corcega 255 Eixample 08036 Barcelona Spain,8.6,41.3930406,2.1545393
516,Best Western Hotel City,Corso Buenos Aires 42 5 Central Station 20124 Milan Italy,8.4,45.4858877,9.2042827
518,Hotel Romana Residence,Corso di Porta Romana 64 Milan City Center 20122 Milan Italy,7.8,45.4572218,9.1937008
520,Enterprise Hotel Design Boutique,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,8.5,45.4867005,9.1575137
521,NH Collection Barcelona Constanza,D u i Mata 66 99 Les Corts 08029 Barcelona Spain,8.7,41.3885274,2.1360471
522,NH Collection Amsterdam Grand Hotel Krasnapolsky,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,8.4,52.3727067,4.8943658
523,Park Plaza Victoria Amsterdam,Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,8,52.377278,4.897818
524,Jaz Amsterdam,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,8.9,52.314371,4.9388064
525,Bilderberg Garden Hotel,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,8.1,52.3511447,4.8740764
527,Melia Vienna,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,8.6,48.231911,16.4129493
528,Grand Hotel Downtown,Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands,7.5,52.36513,4.8729422
529,Amadi Park Hotel,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,8.1,52.364962,4.873495
530,Hotel Casa Camper,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,9.6,41.3832414,2.1685298
531,Holiday Inn London Wembley,Empire Way Wembley Brent London HA9 8DS United Kingdom,8.3,51.5590955,-0.284704
534,Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,7.8,52.333803,4.8884708
536,St Pancras Renaissance Hotel London,Euston Road Camden London NW1 2AR United Kingdom,8.8,51.5267769,-0.1324905
537,DoubleTree By Hilton London Excel,Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,8.4,51.507377,0.038657
543,Hotel V Fizeaustraat,Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,9.1,52.3451511,4.9252372
549,Durrants Hotel,George Street Westminster Borough London W1H 5BJ United Kingdom,8.1,51.5179386,-0.1529794
551,Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,8.8,41.3732462,2.1474351
552,Sunotel Central,Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,8.2,41.3841429,2.1616896
554,Hotel Vueling Bcn by HC,Gran Via 550 Eixample 08011 Barcelona Spain,8.8,41.3831641,2.1604736
555,H10 Casanova,Gran Via 559 Eixample 08012 Barcelona Spain,8.6,41.3842608,2.1609471
556,Catalonia Passeig de Gr cia 4 Sup,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,9.2,41.3901396,2.1696699
557,Hotel Palace GL,Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain,9.4,41.3916258,2.1716378
558,Hotel Casa Bonay,Gran Via de les Corts Catalanes 700 Eixample 08010 Barcelona Spain,8.7,41.3935967,2.1742718
559,The Cumberland A Guoman Hotel,Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,7.5,51.514879,-0.1606501
564,Flemings Mayfair,Half Moon Street Westminster Borough London W1J 7BH United Kingdom,8.7,51.5064607,-0.1454198
566,Hilton London Green Park,Half Moon Street Westminster Borough London W1J 7BN United Kingdom,7.3,51.5064534,-0.1456146
569,Hotel Park Villa,Hasenauerstra e 12 19 D bling 1190 Vienna Austria,8.6,48.2335771,16.345682
570,WestCord Fashion Hotel Amsterdam,Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,8.7,52.357655,4.844576
571,Ambassade Hotel,Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,9.3,52.369391,4.8871721
573,Banks Mansion All Inclusive Hotel,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,9.2,52.3653868,4.8931979
574,Waldorf Astoria Amsterdam,Herengracht 542 556 Amsterdam City Center 1017 CG Amsterdam Netherlands,9.5,52.364768,4.896945
575,Senator Hotel Vienna,Hernalser Hauptstra e 105 17 Hernals 1170 Vienna Austria,8.1,48.2195864,16.3255339
578,Arion Cityhotel Vienna und Appartements,Hintschiggasse 1 10 Favoriten 1100 Vienna Austria,8.1,48.1585332,16.3451115
580,Hilton London Kensington Hotel,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,7.8,51.5051084,-0.213266
581,Hotel Mercure Wien City,Hollandstra e 3 02 Leopoldstadt 1020 Vienna Austria,8.2,48.2152663,16.376103
582,Amadi Panorama Hotel,Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,8.4,52.3588806,4.9886041
583,Room Mate Aitana,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,8.8,52.3846059,4.8941866
585,DoubleTree by Hilton London Chelsea,Imperial Road Hammersmith and Fulham London SW6 2GA United Kingdom,8.3,51.475172,-0.1870629
587,Hotel JL No76,Jan Luijkenstraat 76 Oud Zuid 1071 CT Amsterdam Netherlands,8.8,52.3595919,4.8801587
588,Mercure Hotel Amsterdam City South,Joan Muyskenweg 10 Oost 1096 CJ Amsterdam Netherlands,8.2,52.335182,4.9138688
590,Dutch Design Hotel Artemis,John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands,7.9,52.3417894,4.824952
591,Mercure Josefshof Wien,Josefsgasse 4 6 08 Josefstadt 1080 Vienna Austria,8.3,48.2085627,16.3541687
592,Fleming s Selection Hotel Wien City,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,8.3,48.2094003,16.3533788
595,Cordial Theaterhotel Wien,Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria,8.4,48.2095802,16.3514327
596,Vincci Bit,Josep Pla 69 Sant Mart 08019 Barcelona Spain,8.5,41.4114188,2.211756
598,Hotel Bristol A Luxury Collection Hotel,K rntner Ring 1 01 Innere Stadt 1015 Vienna Austria,9.1,48.2024907,16.3702656
599,Austria Trend Hotel Astoria Wien,K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,8.5,48.2044655,16.3702399
600,Austria Trend Hotel Europa Wien,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,8.6,48.2062103,16.3710387
603,Canal House,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,9.3,52.3763099,4.8862701
604,De Vere Devonport House,King William Walk Greenwich London SE10 9JW United Kingdom,8.2,51.480672,-0.0071375
608,K K Hotel Maria Theresia,Kirchberggasse 6 07 Neubau 1070 Vienna Austria,8.7,48.2031622,16.3561999
610,Small Luxury Hotel Altstadt Vienna,Kirchengasse 41 07 Neubau 1070 Vienna Austria,9.3,48.2047761,16.3512515
611,Der Wilhelmshof,Kleine Stadtgutgasse 4 02 Leopoldstadt 1020 Vienna Austria,8.8,48.2185837,16.3881339
612,Park Plaza Vondelpark Amsterdam,Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands,7.5,52.3542655,4.8664365
613,Hotel 1898,La Rambla 109 Ciutat Vella 08002 Barcelona Spain,9.2,41.3834673,2.1712016
614,Hilton London Wembley,Lakeside Way Brent London HA9 0BU United Kingdom,8.8,51.5576962,-0.2835263
616,Corus Hotel Hyde Park,Lancaster Gate Westminster Borough London W2 3LG United Kingdom,7.6,51.5119446,-0.179939
622,Lancaster London,Lancaster Terrace Westminster Borough London W2 2TY United Kingdom,8.3,51.5119446,-0.179939
623,NH Collection Milano President,Largo Augusto 10 Milan City Center 20122 Milan Italy,8.7,45.4630685,9.1979367
625,Best Western Blue Tower Hotel,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,7.4,52.3793659,4.8457179
626,Hampshire Hotel Amsterdam American,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,8.5,52.363889,4.881302
630,Ilunion Bel Art,Lepanto 406 Horta Guinard 08025 Barcelona Spain,7.9,41.4101934,2.1695574
631,25hours Hotel beim MuseumsQuartier,Lerchenfelder Stra e 1 3 07 Neubau 1070 Vienna Austria,8.8,48.2064745,16.3546297
632,Hampshire Hotel The Manor Amsterdam,Linnaeusstraat 89 Oost 1093 EK Amsterdam Netherlands,8.3,52.3591467,4.9263601
634,Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain,8.4,41.3894195,2.1564886
635,The Mandeville Hotel,Mandeville Place Westminster Borough London W1U 2BE United Kingdom,8.5,51.5165165,-0.1509735
637,Hallmark Hotel London Chigwell Prince Regent,Manor Road London IG8 8AE United Kingdom,6.9,51.6068054,0.0590416
638,IntercityHotel Wien,Mariahilfer Stra e 122 Ecke Kaiserstra e 1 3 07 Neubau 1070 Vienna Austria,8.5,48.1965878,16.3413729
641,Golden Tulip Amsterdam West,Molenwerf 1 1014 AG Amsterdam Netherlands,8.5,52.385601,4.8470597
644,Eurostars Grand Marina Hotel GL,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,8.5,41.371308,2.181698
645,Catalonia Barcelona 505,Muntaner 505 Sarri St Gervasi 08022 Barcelona Spain,8.2,41.4034965,2.1370426
647,Mercure Amsterdam Sloterdijk Station,Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands,8.6,52.3872884,4.8349748
649,DoubleTree by Hilton Hotel Amsterdam NDSM Wharf,Ndsm Plein 28 Amsterdam Noord 1033 WB Amsterdam Netherlands,8.2,52.4001813,4.8936653
653,Hotel V Nesplein,Nes 49 Amsterdam City Center 1012 KD Amsterdam Netherlands,9.1,52.3711037,4.8936787
654,De L Europe Amsterdam,Nieuwe Doelenstraat 2 14 Amsterdam City Center 1012 CP Amsterdam Netherlands,9.1,52.3678779,4.8948936
655,Inntel Hotels Amsterdam Centre,Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,8.2,52.3760456,4.8943917
656,Apex City Of London Hotel,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,9,51.5104624,-0.0795502
658,Onix Liceo,Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,8.1,41.3780229,2.1730782
659,Abba Sants,Numancia 32 Sants Montju c 08029 Barcelona Spain,8.2,41.3825777,2.1400103
660,Aloft London Excel,One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,8.7,51.5083719,0.0355768
661,DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,8.4,52.376752,4.904618
663,Exe Vienna,Ottakringer Stra e 34 36 17 Hernals 1170 Vienna Austria,7.7,48.2149414,16.3365285
664,Hotel Spa Villa Olimpica Suites,Pallars 121 125 Sant Mart 08018 Barcelona Spain,8,41.3971434,2.1921947
665,Hotel Beethoven Wien,Papagenogasse 6 06 Mariahilf 1060 Vienna Austria,8.9,48.2000165,16.3641802
666,H10 Port Vell 4 Sup,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,9.2,41.3815625,2.1838458
667,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,8.1,41.4101306,2.2188047
668,Hotel The Serras,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,9.6,41.3801815,2.180688
669,Hotel Casa Fuster G L Monumento,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,9,41.3980162,2.1581229
672,Hilton Diagonal Mar Barcelona,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,7.9,41.4084334,2.2178205
673,Claris Hotel Spa GL,Pau Claris 150 Eixample 08009 Barcelona Spain,8.6,41.3944848,2.1651078
674,Catalonia Ramblas 4 Sup,Pelai 28 Ciutat Vella 08002 Barcelona Spain,8.6,41.3856387,2.1668274
676,Arthotel ANA Westbahn,Pelzgasse 1 15 Rudolfsheim F nfhaus 1150 Vienna Austria,8.3,48.1979514,16.336318
677,The Rookery,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,9.1,51.520171,-0.102463
678,Hotel Principe Di Savoia,Piazza Della Repubblica 17 Central Station 20124 Milan Italy,9.1,45.479888,9.1962982
679,Hotel Dei Cavalieri,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,8.4,45.4608547,9.1886179
680,Starhotels Anderson,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,8.7,45.4852549,9.2069501
681,NYX Milan,Piazza Quattro Novembre 3 Central Station 20124 Milan Italy,8.8,45.4868745,9.2018406
683,M venpick Hotel Amsterdam City Centre,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands,8.4,52.3781016,4.9142508
684,Hotel SB Diagonal Zero Barcelona 4 Sup,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,8.2,41.4111652,2.2192012
686,W Barcelona,Pla a Rosa dels Vents 1 Passeig Joan de Borbo Ciutat Vella 08039 Barcelona Spain,8.5,41.368437,2.1901534
688,Olivia Plaza Hotel,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,9.3,41.3861459,2.1711594
689,Catalonia Barcelona Plaza,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,8.4,41.3750293,2.1491172
691,Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,8.6,41.3798964,2.1412433
693,London Marriott Maida Vale,Plaza Parade Camden London NW6 5RP United Kingdom,8.1,51.5357597,-0.1902591
694,The Ned,Poultry 27 City of London London EC2R 8AJ United Kingdom,9.3,51.5135929,-0.0907833
703,Sofitel Vienna Stephansdom,Praterstra e 1 02 Leopoldstadt 1020 Vienna Austria,9,48.212857,16.37986
704,Grand Hotel Amr th Amsterdam,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,8.3,52.3744149,4.9041443
705,art otel Amsterdam,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,9,52.377743,4.897057
706,NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,8.6,52.3764175,4.9002201
707,citizenM Amsterdam,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,8.6,52.3419432,4.8759604
709,Golden Tulip Amsterdam Riverside,Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands,7.5,52.3154533,4.9962997
710,Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,7.4,41.4072812,2.1443116
711,Le M ridien Barcelona,Ramblas 111 Ciutat Vella 08002 Barcelona Spain,8.2,41.3837453,2.171014
712,NH Amsterdam Caransa,Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands,7.9,52.3664077,4.8969091
713,Austria Trend Hotel Savoyen Vienna,Rennweg 16 03 Landstra e 1030 Vienna Austria,8.9,48.1950444,16.3844751
714,K West Hotel Spa,Richmond Way Hammersmith and Fulham London W14 0AX United Kingdom,8.4,51.5013149,-0.2174459
716,Le Meridien Vienna,Robert Stolz Platz 1 01 Innere Stadt 1010 Vienna Austria,8.3,48.2027296,16.3661211
718,The College Hotel,Roelof Hartstraat 1 Oud Zuid 1071 VE Amsterdam Netherlands,8.3,52.3527675,4.88373
719,Catalonia Square 4 Sup,Ronda Sant Pere 9 Eixample 08010 Barcelona Spain,9.4,41.3885658,2.1712991
720,Crowne Plaza London Docklands,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,8.8,51.5083537,0.0198855
722,Radisson Blu Hotel Amsterdam,Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,8.6,52.3702469,4.8966743
725,Hotel Espa a Ramblas,Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,8.7,41.3799209,2.1728181
726,Abba Garden,Santa Rosa Esplugues 33 08950 Barcelona Spain,7.9,41.3854716,2.1018835
728,Copthorne Tara Hotel London Kensington,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,8.1,51.499046,-0.1917073
731,Arthotel ANA Prime,Sch nbrunner Stra e 41 05 Margareten 1050 Vienna Austria,8.4,48.1925582,16.3576071
732,Fletcher Hotel Amsterdam,Schepenbergweg 50 Zuidoost 1105 AT Amsterdam Netherlands,7.8,52.2924567,4.9444338
735,Austria Trend Hotel Park Royal Palace Vienna,Schlossallee 8 14 Penzing 1140 Vienna Austria,8.8,48.191339,16.3165873
738,Palais Hansen Kempinski Vienna,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,9.2,48.2163149,16.3685103
739,Hotel de France Wien,Schottenring 3 01 Innere Stadt 1010 Vienna Austria,8.5,48.2146623,16.3627994
741,Grand Ferdinand Vienna Your Hotel In The City Center,Schubertring 10 12 01 Innere Stadt 1010 Vienna Austria,8.6,48.2022415,16.3749336
743,Hotel Am Schubertring,Schubertring 11 01 Innere Stadt 1010 Vienna Austria,8.2,48.2017277,16.375463
744,Hotel Domizil,Schulerstra e 14 01 Innere Stadt 1010 Vienna Austria,8.9,48.2080479,16.375612
745,Hotel Capricorno,Schwedenplatz 3 4 01 Innere Stadt 1010 Vienna Austria,9.1,48.2111522,16.3788631
746,Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,9.3,45.4651371,9.1895249
747,Hotel Esther a,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,9.1,52.3705447,4.8886439
749,Hotel Royal,Singerstra e 3 01 Innere Stadt 1010 Vienna Austria,8.6,48.2078727,16.3724042
750,Best Western Plus Hotel Blue Square,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,7.3,52.3786823,4.8207833
751,Hilton London Canary Wharf,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,9,51.5007324,-0.01655
756,WestCord Art Hotel Amsterdam 4 stars,Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands,8.5,52.3924898,4.8683822
758,NH City Centre Amsterdam,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,8.2,52.3697554,4.8887815
759,The Tower A Guoman Hotel,St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,8.6,51.5064721,-0.0716893
763,Ramada Apollo Amsterdam Centre,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,8.2,52.3681299,4.8440847
765,Amsterdam Marriott Hotel,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,8.1,52.362514,4.8800077
767,Park Hotel,Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,8.3,52.3613814,4.8832594
768,Hotel Stefanie,Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,9.1,48.2142766,16.3801779
769,Amba Hotel Charing Cross,The Strand Westminster Borough London WC2N 5HX United Kingdom,9.3,51.508236,-0.1261963
770,Bermondsey Square Hotel A Bespoke Hotel,Tower Bridge Road Southwark London SE1 3UN United Kingdom,8.3,51.4991134,-0.0790969
772,Courtyard by Marriott Vienna Prater Messe,Trabrennstra e 4 02 Leopoldstadt 1020 Vienna Austria,8.7,48.2130607,16.4133973
773,NH Barcelona Stadium,Travessera de les Corts 150 152 Les Corts 08028 Barcelona Spain,8.1,41.3812574,2.1269078
774,H10 Cubik 4 Sup,V a Laietana 69 Ciutat Vella 08003 Barcelona Spain,9.3,41.388024,2.1731556
775,NH Amsterdam Zuid,Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,7.8,52.3266672,4.8800884
776,The Square Milano Duomo,Via Albricci 2 4 Milan City Center 20122 Milan Italy,9,45.4608604,9.1890215
778,Art Hotel Navigli,Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,8.6,45.4501306,9.1696481
780,Hotel Balmoral,Via Augusta 5 08006 Barcelona Spain,8.3,41.3961294,2.1551626
781,Hotel Clerici,Via Clerici 11 Milan City Center 20121 Milan Italy,9,45.4667717,9.1871001
782,UNA Hotel Cusani,Via Cusani 13 Milan City Center 20121 Milan Italy,8.8,45.4684251,9.1834161
783,Hotel Milano Scala,Via dell Orso 7 Milan City Center 20121 Milan Italy,8.8,45.4689376,9.1868891
785,IH Hotels Milano Gioia,Via della Giustizia 10 D Bicocca Zara 20125 Milan Italy,7.5,45.49952,9.206138
787,Hotel Marconi,Via Fabio Filzi 3 Central Station 20124 Milan Italy,8.3,45.4868744,9.2018407
788,Nu Hotel,Via Feltre 19 B Citt Studi 20132 Milan Italy,8.9,45.4911829,9.2393614
