,Hotel,City,Reviews,Date,Score,Aspect,Sentiment
513,H10 Casanova,"Barcelona, Spain", The rooms were very clean and modern Having a balcony was a great added extra and the roof top bar was brilliant ,8/3/2017,10.0,"[(""very clean"",""rooms""), (""modern"",""rooms""), (""extra"",""balcony""), (""bar"",""roof""), (""top"",""bar"")]","{'roof': [0, 0], 'bar': [0.2023, 0], 'balcony': [0, 0], 'rooms': [0.4576, 0]}"
514,Catalonia Passeig de Gr cia 4 Sup,"Barcelona, Spain", Great location Hotel staff and evening happy hours were excellent ,8/3/2017,9.2,"[(""hours"",""evening""), (""happy"",""hours""), (""excellent"",""hours""), (""excellent"",""staff"")]","{'staff': [0.5719, 0], 'hours': [1.1438, 0], 'evening': [0, 0]}"
515,Hotel Palace GL,"Barcelona, Spain", Good sized room and connecting room Central location Friendly staff Helpful concierge for restaurant reservations,8/3/2017,10.0,"[(""sized"",""room""), (""connecting"",""room""), (""Friendly"",""staff""), (""Helpful"",""concierge""), (""reservations"",""restaurant"")]","{'room': [0, 0], 'staff': [0.4939, 0], 'restaurant': [0, 0], 'concierge': [0.4215, 0]}"
516,Hotel Casa Bonay,"Barcelona, Spain", The bed the shower the fact that they always left fresh water The coffee shop restaurant and lounge area There s a delightful outdoor area on the roof for light meals and drinks The food in the restaurant and the roof is excellent ,8/3/2017,10.0,"[(""always left"",""bed""), (""left"",""water""), (""fresh"",""water""), (""restaurant"",""shop""), (""area"",""lounge""), (""delightful"",""area""), (""outdoor"",""area""), (""light"",""meals""), (""'s"",""area""), (""excellent"",""food"")]","{'lounge': [0, 0], 'area': [0.5859, 0], 'bed': [0, 0], 'food': [0.5719, 0], 'water': [0.3182, 0], 'shop': [0, 0], 'meals': [0, 0]}"
517,The Cumberland A Guoman Hotel,"London, United Kingdom", Bigger room than before Daily room service Near many shops,8/3/2017,6.7,"[(""Bigger"",""room""), (""service"",""room""), (""many"",""shops"")]","{'room': [0, 0], 'shops': [0, 0]}"
518,The Cumberland A Guoman Hotel,"London, United Kingdom", Great location for an event in Hyde Park ,8/3/2017,7.1,[],{}
519,The Cumberland A Guoman Hotel,"London, United Kingdom", Excellent service we were able to check in early The location was perfect easy access to all amenities ,8/3/2017,10.0,"[(""Excellent"",""service""), (""easy"",""access""), (""access"",""location"")]","{'access': [0.4404, 0], 'service': [0.5719, 0], 'location': [0, 0]}"
520,The Cumberland A Guoman Hotel,"London, United Kingdom", The location was excellent rieally good next to Oxford Street,8/3/2017,9.2,"[(""rieally excellent"",""location"")]","{'location': [0.5719, 0]}"
521,The Cumberland A Guoman Hotel,"London, United Kingdom", The only thing I liked was the location The hotel lobby is impressive ,8/3/2017,5.8,"[(""only"",""thing""), (""lobby"",""hotel""), (""impressive"",""lobby"")]","{'hotel': [0.0258, 0], 'lobby': [0.5106, 0], 'thing': [0, 0]}"
522,Flemings Mayfair,"London, United Kingdom", Honestly the location was perfect Luxury shopping all around you close to many of our favorite restaurants in the city Walking distance to Buckingham Palace The hotel staff were so friendly attentive Facilities were excellent Also make sure to have a drink at the hotel bar ,8/3/2017,9.2,"[(""honestly perfect"",""location""), (""favorite"",""restaurants""), (""all shopping"",""Luxury""), (""Walking"",""distance""), (""staff"",""hotel""), (""attentive"",""staff""), (""have"",""drink""), (""bar"",""hotel"")]","{'hotel': [0, 0], 'distance': [0, 0], 'Luxury': [0, 0], 'staff': [0, 0], 'location': [0.7717, 0], 'drink': [0, 0], 'restaurants': [0.4588, 0]}"
523,Flemings Mayfair,"London, United Kingdom", Location and room,8/3/2017,10.0,[],{}
524,Hilton London Green Park,"London, United Kingdom", staff were very helpful food was lovely,8/3/2017,7.9,"[(""very helpful"",""staff""), (""lovely"",""food"")]","{'staff': [0.4754, 0], 'food': [0.5859, 0]}"
525,Hilton London Green Park,"London, United Kingdom", Good breakfast,8/3/2017,3.3,[],{}
526,Hotel Park Villa,"Vienna, Austria", Beautiful hotel with a georgeus garden They upgraded us to larger room with a garden view Room 2 Breakfast was very nice with good selection The tables were set with linens and fresh roses 15 minutes by bus to city center Bus stop right across the street Would definitely recommend this hotel Personnel very helpful ,8/3/2017,9.6,"[(""Beautiful"",""hotel""), (""garden"",""georgeus""), (""larger"",""room""), (""view"",""garden""), (""very nice"",""Breakfast""), (""good"",""selection""), (""center"",""city""), (""set"",""tables""), (""fresh"",""roses""), (""right stop"",""Bus""), (""definitely recommend"",""hotel"")]","{'room': [0, 0], 'hotel': [1.2363, 0], 'selection': [0.4404, 0], 'garden': [0, 0], 'Breakfast': [0.4754, 0], 'georgeus': [0, 0], 'city': [0, 0], 'tables': [0, 0], 'roses': [0.3182, 0], 'Bus': [0, -0.296]}"
527,WestCord Fashion Hotel Amsterdam,"Amsterdam, Netherlands", Room beds lovely ice machine avialble accomodating staff who lent us an adaptor lovely hot stines massage great pool nice walk through Vondel park to museum atea from hotel,8/3/2017,9.2,"[(""beds"",""Room""), (""lovely"",""avialble""), (""avialble"",""ice""), (""avialble"",""machine""), (""accomodating"",""staff""), (""lent"",""pool""), (""lovely"",""stines""), (""hot"",""stines""), (""pool"",""massage""), (""great"",""pool""), (""pool"",""walk""), (""atea"",""museum"")]","{'stines': [0.5859, 0], 'Room': [0, 0], 'ice': [0, 0], 'pool': [0.6249, 0], 'staff': [0, 0], 'massage': [0, 0], 'machine': [0, 0], 'walk': [0, 0], 'avialble': [0.5859, 0], 'museum': [0, 0]}"
528,Ambassade Hotel,"Amsterdam, Netherlands", Gracious staff great accommodations warm welcoming library with bar coffee available Located in quiet area close to markets cafe ,8/3/2017,10.0,"[(""Gracious"",""accommodations""), (""accommodations"",""staff""), (""great"",""accommodations""), (""warm"",""accommodations""), (""coffee"",""bar""), (""available"",""library""), (""quiet"",""close""), (""close"",""area""), (""cafe"",""markets"")]","{'markets': [0, 0], 'close': [0, 0], 'area': [0, 0], 'library': [0, 0], 'staff': [0, 0], 'bar': [0, 0], 'accommodations': [1.4086, 0]}"
529,Banks Mansion All Inclusive Hotel,"Amsterdam, Netherlands", Excellent breakfast and open bar Staff very helpful and nice Great hotel ,8/3/2017,10.0,"[(""Excellent"",""breakfast""), (""bar"",""breakfast""), (""open"",""bar"")]","{'breakfast': [0.5719, 0], 'bar': [0, 0]}"
530,Waldorf Astoria Amsterdam,"Amsterdam, Netherlands", The option to personalise your room scent at turndown The building is beautiful and the room was excellent made even better by the complimentary pillow menu for a perfect night s sleep The free bike rental is also a great plus,8/3/2017,10.0,"[(""personalise"",""option""), (""personalise"",""scent""), (""scent"",""room""), (""beautiful"",""building""), (""excellent"",""room""), (""complimentary"",""menu""), (""menu"",""pillow""), (""perfect"",""night""), (""great"",""plus""), (""also plus"",""rental""), (""free"",""rental""), (""rental"",""bike"")]","{'room': [0.5719, 0], 'plus': [0.6249, 0], 'scent': [0, 0], 'night': [0.5719, 0], 'menu': [0.4404, 0], 'rental': [0.5106, 0], 'pillow': [0, 0], 'bike': [0, 0], 'building': [0.5994, 0], 'option': [0, 0]}"
531,Senator Hotel Vienna,"Vienna, Austria", Nice nearby,8/3/2017,5.0,[],{}
532,Senator Hotel Vienna,"Vienna, Austria", Overall a nice hotel for a good price,8/3/2017,7.1,"[(""nice"",""hotel""), (""good"",""price"")]","{'hotel': [0.4215, 0], 'price': [0.4404, 0]}"
533,Arion Cityhotel Vienna und Appartements,"Vienna, Austria", The room was big and neat we had a little kitchen area with fridge also The wifi was great and the bathroom very clean and with all the necessities There is a bus 360 near the hotel that brings you in the center in 15 minutes or less ,8/3/2017,9.2,"[(""big"",""room""), (""neat"",""room""), (""also had"",""area""), (""little"",""area""), (""area"",""kitchen""), (""great"",""bathroom""), (""the"",""bathroom""), (""very clean"",""bathroom""), (""with"",""bathroom""), (""bathroom"",""wifi""), (""is"",""bus"")]","{'room': [0.4588, 0], 'wifi': [0, 0], 'bus': [0, 0], 'area': [0, 0], 'bathroom': [1.0825, 0], 'kitchen': [0, 0]}"
534,Arion Cityhotel Vienna und Appartements,"Vienna, Austria", great hotel very clean good value for money,8/3/2017,9.6,"[(""great"",""hotel""), (""very clean"",""value""), (""good"",""value"")]","{'hotel': [0.6249, 0], 'value': [0.898, 0]}"
535,Hilton London Kensington Hotel,"London, United Kingdom", Not much,8/3/2017,4.2,[],{}
536,Hotel Mercure Wien City,"Vienna, Austria", Bed is extra comy staff is super friendly close to schewedenplatz room was really clean ,8/3/2017,8.3,"[(""staff"",""Bed""), (""extra"",""staff""), (""staff"",""comy""), (""super"",""close""), (""friendly"",""close""), (""room"",""schewedenplatz"")]","{'staff': [0, 0], 'close': [1.0933000000000002, 0], 'comy': [0, 0], 'schewedenplatz': [0, 0], 'Bed': [0, 0]}"
537,Amadi Panorama Hotel,"Amsterdam, Netherlands", It s very new modern and accommodating with excellent facilities ,8/3/2017,8.3,"[(""excellent"",""facilities"")]","{'facilities': [0.5719, 0]}"
538,Room Mate Aitana,"Amsterdam, Netherlands", It was Nice in the centrum and we ask for baby bed and we get it shower and rooms are very good internet also Hotel clean and beautiful ,8/3/2017,7.5,"[(""bed"",""baby""), (""it"",""shower""), (""very good"",""internet"")]","{'shower': [0, 0], 'baby': [0, 0], 'internet': [0.4927, 0]}"
539,Room Mate Aitana,"Amsterdam, Netherlands", They upgraded me to a suite which was gorgeous The hotel and facilities are beautiful I was very surprised as it was at a much higher standard than hotels in the area which are not much cheaper The location is very nice and in a good place for the station or Danzigerkade where I was working I didn t get a chance to go but there is a Bagel and Beans across the road and I love that place ,8/3/2017,10.0,"[(""beautiful"",""facilities""), (""beautiful"",""hotel""), (""good"",""place""), (""very nice"",""location""), (""get"",""chance"")]","{'chance': [0, 0], 'hotel': [0.5994, 0], 'place': [0.4404, 0], 'location': [0.4754, 0], 'facilities': [0.5994, 0]}"
540,DoubleTree by Hilton London Chelsea,"London, United Kingdom", Amazing London location walking distance to Fulham Road and and it s eateries pubs etc Plus the area is not too busy Easy to drive to We came from Hampshire and pretty much missed all the London traffic on the way in Very comfy hotel we had 2 double beds in our room and quite a nice view from the room Welcome cookie upon arrival nice touch ,8/3/2017,9.2,"[(""walking"",""distance""), (""walking"",""location""), (""it"",""pubs""), (""pubs"",""eateries""), (""too busy"",""area""), (""missed"",""traffic""), (""comfy"",""hotel""), (""had"",""beds""), (""double"",""beds""), (""nice"",""view""), (""nice"",""touch""), (""touch"",""arrival""), (""Welcome"",""cookie"")]","{'beds': [0, 0], 'pubs': [0, 0], 'area': [0, 0], 'touch': [0.4215, 0], 'location': [0, 0], 'view': [0.4215, 0], 'hotel': [0, 0], 'eateries': [0, 0], 'distance': [0, 0], 'arrival': [0, 0], 'cookie': [0.4588, 0], 'traffic': [0, -0.296]}"
541,Hotel JL No76,"Amsterdam, Netherlands", Supreme location for museum and gallery visiting quiet clean safe and charming Very comfortable and everything worked really well ,8/3/2017,9.6,"[(""really worked"",""everything"")]","{'everything': [0, 0]}"
542,Mercure Hotel Amsterdam City South,"Amsterdam, Netherlands", Staff member that welcomed us couldn t of been more friendly Others weren t as but I suppose we all have different personalities He made sure we had a room with a view which was very pleasant ,8/3/2017,7.9,"[(""member"",""Staff""), (""but as"",""Others""), (""different"",""personalities""), (""all have"",""personalities""), (""had"",""room"")]","{'room': [0, 0], 'Others': [0, 0], 'Staff': [0, 0], 'personalities': [0, 0]}"
543,Mercure Hotel Amsterdam City South,"Amsterdam, Netherlands", was clean and staff were friendly,8/3/2017,6.3,"[(""friendly"",""staff"")]","{'staff': [0.4939, 0]}"
544,Dutch Design Hotel Artemis,"Amsterdam, Netherlands", Nothing,8/3/2017,2.9,[],{}
545,Mercure Josefshof Wien,"Vienna, Austria", Good location,8/3/2017,5.8,[],{}
546,Fleming s Selection Hotel Wien City,"Vienna, Austria", That the mini bar is free and always refilled everyday The room is huge with the ceilings too high Those who are claustrophobic will have no problem There are two lifts Easy to go to room and go out of the hotel Shower is in the room Better for couples but not for friends and others sharing one room as you can see the person taking a bath Toilet is in a separate room really nice and clean Loved the bed Near the Rathaus train station,8/3/2017,8.8,"[(""mini"",""bar""), (""free"",""bar""), (""always refilled"",""bar""), (""huge"",""room""), (""too high"",""ceilings""), (""have"",""problem""), (""are"",""lifts""), (""is"",""Shower""), (""taking"",""bath""), (""for"",""couples""), (""sharing"",""room""), (""see"",""person""), (""separate"",""room""), (""really nice"",""Toilet""), (""clean"",""Toilet""), (""Loved"",""bed""), (""station"",""train"")]","{'room': [0.7397, 0], 'lifts': [0, 0], 'Shower': [0, 0], 'bed': [0.5994, 0], 'couples': [0, 0], 'ceilings': [0, 0], 'train': [0, 0], 'Toilet': [0.8773, 0], 'problem': [0, 0], 'bath': [0, 0], 'bar': [0.5106, 0], 'person': [0, 0]}"
547,Fleming s Selection Hotel Wien City,"Vienna, Austria", Good breakfast Free minibar,8/3/2017,7.5,[],{}
548,Fleming s Selection Hotel Wien City,"Vienna, Austria", Cleanliness,8/3/2017,8.8,[],{}
549,Cordial Theaterhotel Wien,"Vienna, Austria", All things here are good,8/3/2017,9.6,"[(""here good"",""things"")]","{'things': [0.4404, 0]}"
550,Vincci Bit,"Barcelona, Spain", Modern hotel with well designed rooms that are different from your standard 4 start hotel Great shower and comfortable bed Nice detail all floors have a different design The rooftop bar is an excellent place to have a drink in the evening It s a 1km walk to the beach and the hotel will provide you with towels There is also a shopping mall close by where you can get your Starbucks in the morning or go to one of the bakery s in the neighborhood for a more authentic breakfast ,8/3/2017,8.8,"[(""well designed"",""rooms""), (""standard"",""hotel""), (""hotel"",""start""), (""comfortable"",""bed""), (""Great"",""shower""), (""different"",""design""), (""Nice"",""detail""), (""have"",""design""), (""have"",""detail""), (""have"",""drink""), (""bar"",""rooftop""), (""place"",""bar""), (""excellent"",""place""), (""provide"",""hotel""), (""It"",""walk""), (""1km"",""walk""), (""also is"",""mall""), (""mall"",""shopping""), (""authentic"",""breakfast"")]","{'place': [0.5719, 0], 'walk': [0, 0], 'start': [0, 0], 'detail': [0.4215, 0], 'breakfast': [0, 0], 'shower': [0.6249, 0], 'drink': [0, 0], 'rooftop': [0, 0], 'design': [0, 0], 'hotel': [0, 0], 'shopping': [0, 0], 'bed': [0.5106, 0], 'mall': [0, 0], 'bar': [0, 0], 'rooms': [0.2732, 0]}"
551,Vincci Bit,"Barcelona, Spain", They rooms were cleaned perfectly very quickly,8/3/2017,7.9,"[(""quickly cleaned"",""rooms"")]","{'rooms': [0, 0]}"
552,Hotel Bristol A Luxury Collection Hotel,"Vienna, Austria", location is the best ,8/3/2017,7.9,"[(""best"",""location"")]","{'location': [0.6369, 0]}"
553,Austria Trend Hotel Astoria Wien,"Vienna, Austria", Staff very friendly and helpful Glutenfree and lactosefree food items in stock The double room was spacious and stylish ,8/3/2017,8.3,"[(""items"",""lactosefree""), (""items"",""food""), (""items"",""Glutenfree""), (""stylish"",""room""), (""double"",""room""), (""spacious"",""room"")]","{'room': [0, 0], 'lactosefree': [0, 0], 'food': [0, 0], 'Glutenfree': [0, 0]}"
554,Austria Trend Hotel Europa Wien,"Vienna, Austria", The hotel is VERY well located within a 10 minute walk from the train from the airport and within walking distance of most major tourist attractions in Vienna The accomodations were excellent the breakfasts great with eggs prepared to order and much more and the staff very helpful especially Marcus who was at the desk A Great place to stay ,8/3/2017,10.0,"[(""is"",""hotel""), (""walk"",""minute""), (""walking"",""distance""), (""most"",""attractions""), (""major"",""attractions""), (""attractions"",""tourist""), (""great"",""breakfasts""), (""very helpful"",""staff""), (""excellent"",""accomodations""), (""place"",""A."")]","{'minute': [0, 0], 'hotel': [0, 0], 'distance': [0, 0], 'staff': [0.4754, 0], 'attractions': [0, 0], 'breakfasts': [0.6249, 0], 'tourist': [0.4215, 0], 'accomodations': [0.5719, 0], 'A.': [0, 0]}"
555,Austria Trend Hotel Europa Wien,"Vienna, Austria", good location comfort room,8/3/2017,8.8,"[(""good"",""location""), (""room"",""comfort"")]","{'location': [0.4404, 0], 'comfort': [0, 0]}"
556,Austria Trend Hotel Europa Wien,"Vienna, Austria", Location is very good,8/3/2017,7.1,[],{}
557,Canal House,"Amsterdam, Netherlands", Beautiful hotel and great location,8/3/2017,10.0,"[(""Beautiful"",""hotel""), (""great"",""location"")]","{'hotel': [0.5994, 0], 'location': [0.6249, 0]}"
558,De Vere Devonport House,"London, United Kingdom", Good location free wifi friendly helpful staff,8/3/2017,8.8,"[(""Good"",""location""), (""free"",""wifi""), (""friendly"",""staff""), (""helpful"",""staff"")]","{'wifi': [0.5106, 0], 'location': [0.4404, 0], 'staff': [0.9154, 0]}"
559,De Vere Devonport House,"London, United Kingdom", Comfortable clean accommodation Excellent breakfast plenty of choice,8/3/2017,8.3,"[(""Comfortable"",""accommodation""), (""clean"",""accommodation""), (""Excellent"",""plenty""), (""plenty"",""breakfast"")]","{'plenty': [0.5719, 0], 'accommodation': [0.9125000000000001, 0], 'breakfast': [0, 0]}"
560,De Vere Devonport House,"London, United Kingdom", Staff were very helpful especially when my husband was feeling unwell the next morning Very accommodating ,8/3/2017,10.0,"[(""very helpful"",""Staff""), (""when feeling"",""husband""), (""next"",""morning"")]","{'husband': [0.128, 0], 'morning': [0, 0], 'Staff': [0.4754, 0]}"
561,De Vere Devonport House,"London, United Kingdom", Great breakfast and friendly staff,8/3/2017,8.8,"[(""Great"",""breakfast""), (""friendly"",""staff"")]","{'staff': [0.4939, 0], 'breakfast': [0.6249, 0]}"
562,K K Hotel Maria Theresia,"Vienna, Austria", Clean room and bathroom nice breakfast and friendly staff ,8/3/2017,7.9,"[(""Clean"",""room""), (""nice"",""breakfast""), (""friendly"",""staff"")]","{'room': [0.4019, 0], 'breakfast': [0.4215, 0], 'staff': [0.4939, 0]}"
563,K K Hotel Maria Theresia,"Vienna, Austria", Excellent hotel in a great location for all that wonderful Vienna has to offer Value for money Would definitely return on our next visit Lots of great restaurants nearby ,8/3/2017,9.6,"[(""Excellent"",""hotel""), (""great"",""location""), (""has"",""hotel""), (""next"",""visit""), (""great"",""restaurants"")]","{'hotel': [0.5719, 0], 'visit': [0, 0], 'restaurants': [0.6249, 0], 'location': [0.6249, 0]}"
564,Small Luxury Hotel Altstadt Vienna,"Vienna, Austria", Quirky designs for the rooms location professionalism of staff ,8/3/2017,8.8,"[(""Quirky"",""designs""), (""professionalism"",""rooms""), (""professionalism"",""location"")]","{'designs': [0, 0], 'location': [0, 0], 'rooms': [0, 0]}"
565,Der Wilhelmshof,"Vienna, Austria", Very comfy and friendly ,8/3/2017,9.6,[],{}
566,Park Plaza Vondelpark Amsterdam,"Amsterdam, Netherlands", Staff were very accomodating extra pillows towels chairs Nice bar good room service On the tram line and a few blocks out of the noise of downtown ,8/3/2017,9.2,"[(""very"",""Staff""), (""accomodating"",""pillows""), (""extra"",""pillows""), (""chairs"",""towels""), (""Nice"",""service""), (""service"",""bar""), (""good"",""service""), (""service"",""room""), (""line"",""tram""), (""few"",""blocks"")]","{'room': [0, 0], 'towels': [0, 0], 'Staff': [0, 0], 'service': [0.8619, 0], 'blocks': [0, 0], 'pillows': [0, 0], 'tram': [0, 0], 'bar': [0, 0]}"
567,Hotel 1898,"Barcelona, Spain", This hotel is in a great location It s within close walking distance of nice restaurants shopping museums and public transportation The staff is professional friendly and helped us with all of our needs The lobby has a nice atmosphere with a bar and plenty of sofas to lounge in The AC worked great which was such a relief from the July heat I would stay here again in a heartbeat ,8/3/2017,10.0,"[(""is"",""hotel""), (""great"",""location""), (""close"",""distance""), (""walking"",""distance""), (""nice"",""restaurants""), (""shopping"",""museums""), (""shopping"",""transportation""), (""public"",""transportation""), (""helped"",""staff""), (""friendly"",""staff""), (""has"",""lobby""), (""has"",""atmosphere""), (""nice"",""atmosphere""), (""worked"",""AC"")]","{'hotel': [0, 0], 'distance': [0, 0], 'atmosphere': [0.4215, 0], 'staff': [0.4939, 0], 'location': [0.6249, 0], 'lobby': [0, 0], 'museums': [0, 0], 'AC': [0, 0], 'transportation': [0, 0], 'restaurants': [0.4215, 0]}"
568,Hilton London Wembley,"London, United Kingdom", The staff were so nice and the breakfast was delicious and our bed was super big and super comfortable ,8/3/2017,9.2,"[(""so nice"",""staff""), (""delicious"",""breakfast""), (""big"",""bed""), (""comfortable"",""bed"")]","{'staff': [0.4754, 0], 'breakfast': [0.5719, 0], 'bed': [0.5106, 0]}"
569,Hilton London Wembley,"London, United Kingdom", Location Comfort,8/3/2017,9.2,[],{}
570,Corus Hotel Hyde Park,"London, United Kingdom", Reception excellent greeting,8/3/2017,9.6,"[(""excellent"",""Reception"")]","{'Reception': [0.5719, 0]}"
571,Corus Hotel Hyde Park,"London, United Kingdom", The room the large bed the breakfast the cleanliness of the hote the quantity of refreshments having a bottle of water provided and location of the hotel and to transport ,8/3/2017,10.0,"[(""large"",""bed""), (""having"",""bottle"")]","{'bed': [0, 0], 'bottle': [0, 0]}"
572,Corus Hotel Hyde Park,"London, United Kingdom", The rooms were decorated beautifully and the breakfast room was great,8/3/2017,10.0,"[(""beautifully decorated"",""rooms""), (""room"",""breakfast""), (""great"",""room"")]","{'room': [0.6249, 0], 'breakfast': [0, 0], 'rooms': [0.5719, 0]}"
573,Corus Hotel Hyde Park,"London, United Kingdom", Always room at breakfast ,8/3/2017,7.9,[],{}
574,Corus Hotel Hyde Park,"London, United Kingdom", coffee machine in bedroom alongside kettle plus air conditioning and balcony ,8/3/2017,9.6,"[(""machine"",""coffee""), (""conditioning"",""air"")]","{'air': [0, 0], 'coffee': [0, 0]}"
575,Corus Hotel Hyde Park,"London, United Kingdom", The staff were great very helpful and courteous Great location close to transport and eateries ,8/3/2017,10.0,"[(""great helpful"",""staff""), (""courteous"",""staff""), (""close"",""location"")]","{'staff': [1.2951000000000001, 0], 'location': [0, 0]}"
576,Lancaster London,"London, United Kingdom", Our room had been renovated and redecorated and although the room was compact it was very well designed and laid out and had everything we needed The bathroom was great and the shower fantastic The bed and pillows were very comfortable We had a great view over London and Hyde Park was opposite The tube was right around the corner with great access for the bus as well A thoughtful bonus was a gift of guest of the day of an afternoon tea for two with a glass of champagne The afternoon tea was delicious with a great variety of teas I had never heard of a delightful experience I will definitely stay there next time I am in London ,8/3/2017,9.2,"[(""renovated"",""room""), (""redecorated"",""room""), (""compact"",""room""), (""had"",""everything""), (""had"",""room""), (""great"",""bathroom""), (""fantastic"",""bathroom""), (""very comfortable"",""bed""), (""comfortable"",""pillows""), (""had"",""view""), (""great"",""view""), (""well right"",""tube""), (""great"",""access""), (""tea"",""afternoon""), (""thoughtful"",""bonus""), (""gift"",""bonus""), (""tea"",""afternoon""), (""delicious"",""tea""), (""great"",""variety""), (""delightful"",""experience""), (""next"",""time"")]","{'room': [0, 0], 'everything': [0, 0], 'variety': [0.6249, 0], 'tea': [0.5719, 0], 'bed': [0.5563, 0], 'experience': [0.5859, 0], 'access': [0.6249, 0], 'pillows': [0.5106, 0], 'view': [0.6249, 0], 'time': [0, 0], 'bathroom': [1.1823000000000001, 0], 'bonus': [0.8222, 0], 'afternoon': [0, 0], 'tube': [0.2732, 0]}"
577,NH Collection Milano President,"Milan, Italy", The staff were so accommodating especially the restaurant The room was so clean spacious and modern Our suite can accommodate us all good for four person ,8/3/2017,7.9,"[(""so accommodating"",""staff""), (""accommodating"",""restaurant""), (""so clean"",""room""), (""modern"",""room""), (""accommodate"",""suite"")]","{'staff': [0, 0], 'room': [0.4576, 0], 'restaurant': [0, 0], 'suite': [0, 0]}"
578,NH Collection Milano President,"Milan, Italy", Staff was helpful especially CARMEN I guess she is the breakfast manager or supervisor plus the 5 or 6 deferent verify of croissant in the breakfast ,8/3/2017,10.0,"[(""helpful"",""Staff""), (""she"",""breakfast""), (""verify"",""manager""), (""verify"",""supervisor"")]","{'breakfast': [0, 0], 'manager': [0, 0], 'Staff': [0.4215, 0], 'supervisor': [0, 0]}"
579,Best Western Blue Tower Hotel,"Amsterdam, Netherlands", The 100 deposit for a bike was a bit steep apart from that all good ,8/3/2017,10.0,"[(""apart steep"",""deposit"")]","{'deposit': [0, 0]}"
580,Hampshire Hotel Amsterdam American,"Amsterdam, Netherlands", Lovely hotel great location with tram stop right outside,8/3/2017,7.9,"[(""Lovely"",""location""), (""location"",""hotel""), (""great"",""location""), (""outside stop"",""location"")]","{'location': [1.2107999999999999, -0.296], 'hotel': [0, 0]}"
581,Hampshire Hotel Amsterdam American,"Amsterdam, Netherlands", Didn t have breakfast,8/3/2017,6.3,"[(""have"",""breakfast"")]","{'breakfast': [0, 0]}"
582,Hampshire Hotel Amsterdam American,"Amsterdam, Netherlands", Great selection of foods for breakfast ,8/3/2017,8.8,"[(""Great"",""selection"")]","{'selection': [0.6249, 0]}"
583,Ilunion Bel Art,"Barcelona, Spain", The room was clean and comfortable with a window overlooking the street The lobby decor was interesting A couple sidewalk cafes and a grocery were very close The staff was friendly and very helpful While not in the center of things metro stops were 4 5 blocks away allowing access to pretty much anywhere ,8/3/2017,9.6,"[(""clean"",""room""), (""comfortable"",""room""), (""overlooking"",""street""), (""decor"",""lobby""), (""interesting"",""decor""), (""very close"",""grocery""), (""close"",""cafes""), (""cafes"",""couple""), (""cafes"",""sidewalk""), (""friendly"",""staff""), (""very helpful"",""staff""), (""away allowing"",""access""), (""stops"",""metro"")]","{'room': [0.9125000000000001, 0], 'cafes': [0, 0], 'street': [0, 0], 'grocery': [0, 0], 'access': [0, 0], 'decor': [0.4019, 0], 'staff': [0.9693, 0], 'lobby': [0, 0], 'sidewalk': [0, 0], 'metro': [0, -0.1531], 'couple': [0, 0]}"
584,25hours Hotel beim MuseumsQuartier,"Vienna, Austria", Cool vintage style in the middle of the museum quarter metro station 350mt awesome rooftop bar good restaurant ,8/3/2017,10.0,"[(""Cool"",""style""), (""vintage"",""style""), (""350mt"",""museum""), (""350mt"",""quarter""), (""350mt"",""metro""), (""350mt"",""station""), (""rooftop"",""350mt""), (""awesome"",""rooftop""), (""bar"",""restaurant""), (""good"",""restaurant"")]","{'350mt': [0, 0], 'style': [0.3182, 0], 'station': [0, 0], 'restaurant': [0.4404, 0], 'quarter': [0, 0], 'museum': [0, 0], 'rooftop': [0.6249, 0], 'metro': [0, 0]}"
585,Hampshire Hotel The Manor Amsterdam,"Amsterdam, Netherlands", Comfy bed and menu food and service in the restaurant was excellent staff were polite helpful and courteous the bar next door The Kuiper was excellent also and very handy for a 3am finish Would definitely recommend and stay again although a little bit pricey not best located although tram line is on your doorstep and taxi was E60 each way from airport ,8/3/2017,7.5,"[(""Comfy"",""bed""), (""food"",""menu""), (""excellent"",""bed""), (""excellent"",""food""), (""excellent"",""service""), (""helpful"",""bar""), (""courteous"",""bar""), (""next bar"",""staff""), (""3am"",""finish""), (""little"",""bit""), (""line"",""tram""), (""is"",""line"")]","{'finish': [0, 0], 'bit': [0, 0], 'line': [0, 0], 'food': [0.5719, 0], 'bed': [0.5719, 0], 'service': [0.5719, 0], 'menu': [0, 0], 'staff': [0, 0], 'tram': [0, 0], 'bar': [0.9321, 0]}"
586,Hampshire Hotel The Manor Amsterdam,"Amsterdam, Netherlands", small single beds not queen size cosy though,8/3/2017,4.6,"[(""small"",""beds""), (""single"",""beds""), (""size"",""queen"")]","{'beds': [0, 0], 'queen': [0, 0]}"
587,Best Western Premier Hotel Dante,"Barcelona, Spain", Location ok,8/3/2017,5.4,[],{}
588,The Mandeville Hotel,"London, United Kingdom", Quiet room Clean Friendly staff ,8/3/2017,7.5,"[(""Quiet"",""room""), (""Friendly"",""staff"")]","{'room': [0, 0], 'staff': [0.4939, 0]}"
