,Hotel,Reviews,Aspect_Sentiment
141,Apex Temple Court Hotel, Although it s a fairly big hotel the overall vibe we got was very cozy which we liked a lot Staff was very friendly and helpful whenever we needed Upon arrival we received a reduction coupon for the breakfast The location is exquisite ,"{'lot staff': [1.625, -0.25], 'reduction coupon': [1.75, 0], 'breakfast': [0.875, 0], 'vibe': [0.75, -0.25], 'hotel': [0.75, -0.25], 'upon arrival': [1.75, 0], 'whenever': [0.875, 0]}"
142,Apex Temple Court Hotel, Very clean large rooms with high value toiletries Extremely comfortable bed and pillows Friendly staff ,"{'extremely': [0.75, -0.75], 'value': [0.75, -0.75], 'bed': [0.75, -0.75]}"
143,Apex Temple Court Hotel, This is without question one of London finest Hotels I have never slept that well in a very very longtime and I love the duck Amazing reception and great facilities ,"{'question': [0.375, 0], 'london': [0.375, 0]}"
144,Apex Temple Court Hotel, Great location room was outstanding beds were so clean and comfortable bathroom had a big deep bath and a fantastic shower we would recommend this hotel to everybody ,"{'great location room': [4.125, -2.25], 'shower': [1.375, -0.75], 'bathroom': [1.375, -0.75], 'hotel': [1.375, -0.75], 'bath': [1.375, -0.75]}"
145,Apex Temple Court Hotel, The hotel gave us a complimentary upgrade to a suite which was fantastic The room and bed were extremely comfortable Excellent personalised service Food was excellent ,"{'room': [1.625, -0.75], 'upgrade': [0.875, 0], 'hotel': [0.875, 0], 'bed': [1.625, -0.75], 'excellent': [1.625, -0.75], 'suite': [0.875, 0]}"
147,Apex Temple Court Hotel, The design facilities and location of the hotel WIFI and also Gym were quite convenient,"{'location': [0.625, -0.625], 'hotel wifi': [1.25, -1.25], 'design': [0.625, -0.625]}"
148,Apex Temple Court Hotel, Staff were lovely reception sent a card and a box of chocolates up for my birthday Room service food was fantastic and nice cocktails served in the bar Room wasn t the biggest but had everything we needed Very clean and lovely bathroom too ,"{'staff': [0.625, 0], 'card': [0.625, 0], 'everything': [1.0, -0.25], 'room service food': [2.875, -0.25], 'reception': [0.625, 0], 'box': [0.625, 0], 'bar room wasn': [2.875, -0.25]}"
149,Apex Temple Court Hotel, The bathroom was light pleasant and very clean The wardrobe space was good and there were tea making facilities The bed was comfortable ,"{'wardrobe space': [3.25, -1.5], 'tea making': [3.25, -1.5], 'bathroom': [1.625, -0.75]}"
150,Apex Temple Court Hotel, The room was clean and comfortable bathroom was modern and spacious ,"{'room': [0, -0.75]}"
151,Apex Temple Court Hotel, Just returned from a wonderful weekend at the apex temple court Where to start From the amazing upgrade for my husbands 30th birthday to the personalised handwritten note and chocolates left for us in the room everything was perfect from the start The hotel is in a great location less than 10 minutes walk to Covent Garden and for location alone is great value I had chosen the hotel as we were attending the aldwych theatre and it was literally around the corner It s clean modern and our room was to die for with a balcony offering views of the London eye The apex offers so many extra touches with the free jelly beans Pringles and of course the apex duck We had a great nespresso machine in our room and robes and slippers all added to make the perfect stay They really have thought about everything We have stayed in many hotels in London but would definately choose apex again ,"{'weekend': [1.5, -0.625], 'room': [2.125, -0.625], 'london eye': [0.625, 0], 'everything': [2.125, -0.625], 'balcony': [0, 0], 'stay': [0.625, 0], 'covent garden': [3.0, -1.25], 'room everything': [4.25, -1.25], 'note': [1.5, -0.625], 'london': [0.625, 0], 'value': [1.5, -0.625], 'birthday': [1.5, -0.625], 'temple court': [3.0, -1.25], 'hotel': [2.125, -0.625], 'start': [1.5, -0.625], 'upgrade': [1.5, -0.625], 'aldwych theatre': [3.0, -1.25], 'machine': [0.625, 0], 'course': [0.25, 0], 'location': [1.5, -0.625], 'apex': [2.375, -0.625], 'duck': [0.25, 0], 'corner': [0, 0]}"
152,Apex Temple Court Hotel, It was located in a cosy corner off the street ,"{'corner': [0, 0]}"
153,Apex Temple Court Hotel, The staff were very accommodating it was mine and my partners anniversary and they did such an amazing job at making the room look lovely,"{'job': [0.25, -0.25], 'staff': [0.5, 0], 'mine': [0.5, 0]}"
154,Apex Temple Court Hotel, Very nice hotel quiet setting within an inner courtyard Terrace will be lovely in summer plus also very quiet I imagine Very pleasant staff and good hotel bar I didn t use the restaurant neither for breakfast or evening so can t comment ,"{'hotel bar': [3.75, 0], 'restaurant neither': [0, 0], 'courtyard terrace': [1.25, 0], 'staff': [1.625, 0], 'breakfast': [0, 0], 'summer': [0.75, 0], 'evening': [0, 0], 'hotel': [2.125, 0]}"
155,Apex Temple Court Hotel, Beds were very comfy bathroom was fantastic and location was excellent ,"{'bathroom': [1.875, -0.75]}"
156,Apex Temple Court Hotel, The location of the hotel is superb convenient and close to the centre yet tucked away in a quiet hidden away pocket ,"{'location': [1.125, -0.125], 'hotel': [1.125, -0.125], 'centre': [1.125, -0.125], 'close': [1.125, -0.125], 'convenient': [1.125, -0.125]}"
157,Apex Temple Court Hotel, The staff were fantastic in the bar super friendly The shower and bath were fantastic ,"{'shower': [0.875, 0], 'staff': [0.875, 0], 'bar super': [1.75, 0]}"
158,Apex Temple Court Hotel, Staff was very nice and interior decoration was stylish and warm Good location to walk around London ,"{'good location': [2.5, 0], 'decoration': [1.25, 0], 'staff': [1.25, 0]}"
159,Apex Temple Court Hotel, Nice bathroom with big shower and bath Quiet if you get a room on the top floors ,"{'shower': [0.25, 0], 'nice bathroom': [0.5, 0], 'bath quiet': [0.5, 0]}"
160,Apex Temple Court Hotel, I spend the weekend in the Apex Hotel with my boyfriend and we had an an wonderful weekend the stuff from Apex was so friendly and they made everything possible have a great birthday weekend in london For this THANK YOU SO MUCH We will come back Best regards Theresa,"{'weekend': [0.875, 0], 'best': [0, 0], 'london': [0.875, 0], 'everything': [0.875, 0], 'apex hotel': [1.75, 0], 'boyfriend': [0.875, 0], 'thank you': [0, 0], 'apex': [0.875, 0], 'stuff': [0.875, 0]}"
161,Apex Temple Court Hotel, Rooms are quiet Beds are huge Bathroom is spacious and shower is hot and powerful Location is very good Thames within walking distance Temple area is beautiful Note however that during weekends the atmosphere is different than during week days due to the fact that many shops most of the business centres and the criminal courts are closed which results in less people in the neighbourhoud ,"{'week': [3.0, -1.25], 'shower': [3.0, -1.25], 'note': [3.0, -1.25], 'business': [3.0, -1.25], 'beds': [3.0, -1.25], 'bathroom': [3.0, -1.25], 'location': [3.0, -1.25], 'distance temple area': [9.0, -3.75], 'atmosphere': [3.0, -1.25], 'fact': [3.0, -1.25]}"
162,Apex Temple Court Hotel, Comfortable room which was very clean,{}
164,Apex Temple Court Hotel, Everything from the reception greeting of Luca to leaving wth yet another warm vibe from reception The cleaning staff were polite and warm My standard room was spotless in terms of cleanliness an incredibly cosy bed a nice ambience to the room ,"{'reception greeting': [3.5, -1.0], 'ambience': [1.75, -0.5], 'everything': [1.75, -0.5], 'cleanliness': [1.75, -0.5], 'reception': [1.75, -0.5], 'luca': [1.75, -0.5], 'cleaning staff': [3.5, -1.0], 'my standard room': [5.25, -1.5], 'wth': [1.75, -0.5], 'vibe': [1.75, -0.5]}"
165,Apex Temple Court Hotel, Very comfortable and clean room Balcony was a little plus ,"{'room balcony': [0.5, -1.0]}"
166,Apex Temple Court Hotel, Alex Hotel couldn t find our booking at first but it worked out that they had upgraded us to a Junior suite which was amazing Free rubber duck was a nice touch and did make us laugh ,"{'alex hotel couldn t': [0, 0], 'rubber duck': [0, 0], 'junior suite': [0, 0], 'booking': [0, 0]}"
167,Apex Temple Court Hotel, Hotel was clean smart looking and great location as well as very professional The room was spacious and the bathroom with both separate shower and bath was a brilliant bonus Our room was located right outside the lifts and we didnt hear anything Also had to love the Apex duck Would definately recommend staying in an Apex hotel ,"{'room': [0.875, 0], 'shower': [0.875, 0], 'bathroom': [0.875, 0], 'location': [0.5, -0.625], 'bath': [0.875, 0], 'anything': [0.875, 0], 'bonus': [0.875, 0], 'apex duck would': [2.625, 0], 'hotel': [1.375, -0.625]}"
168,Apex Temple Court Hotel, location would have been great,{}
169,Apex Temple Court Hotel, Room was a nice size and very quiet Quite a long walk from reception along winding corridors but worth the walk when you got there We were in room 149 which was the very end room on a corridor and we never heard a thing ,"{'room': [1.0, 0], 'end room': [1.5, 0], 'size': [0.5, 0], 'reception': [0, 0], 'corridor': [0.5, 0], 'walk': [0, 0]}"
170,Apex Temple Court Hotel, The hotel is in a quiet location right in the heart of London so it is within easy walking distance of most of the places we wished to visit We didn t experience the usual problem of banging doors and loud voices that seems to be the norm these days in big hotels maybe because we were right at the end of a corridor maybe because the walls and floors are well soundproofed so we managed to have a good undisturbed night s sleep There was very little traffic noise either It was lovely to be able to go to the local theatres and walk back to the hotel afterwards The Novello is a about 10 minutes walk away I loved the idea of the little duck it made it feel more personal and now sits in my bathroom at home The room we had was a good size the bed was extremely comfortable and the room was spotlessly clean A bath robe and slippers were provided as well as the usual toiletries ,"{'hotel': [2.25, -0.375], 'room': [1.5, -0.75], 'traffic noise': [1.0, -0.5], 'home': [0, 0], 'end': [1.25, -0.375], 'bathroom': [0, 0], 'distance': [0.625, 0], 'duck': [0, -0.25], 'london': [0.625, 0], 'corridor': [1.25, -0.375], 'novello': [0, -0.25], 'night s sleep': [6.75, -2.375], 'location right': [2.5, -0.375], 'idea': [0, -0.25], 'problem': [1.25, -0.375], 'heart': [0.625, 0], 'size': [1.5, -0.75], 't experience': [5.5, -2.0], 'bed': [2.75, -1.125]}"
171,Apex Temple Court Hotel, Location of the hotel,"{'location': [0, 0]}"
172,Apex Temple Court Hotel, Really lovely and luxurious hotel Special thanks to Gosia on Reception who went above and beyond to make our stay as enjoyable and special as possible so thank you Gosia ,"{'reception': [2.0, 0], 'hotel': [2.0, 0]}"
173,Apex Temple Court Hotel, The room was really completely sound proof We appreciated the bathroom with both tube and big shower cabin together with the super cozy bath ropes And if you like to listen to music properly don t forget to bring a little audio cable jack to jack The superior rooms are equipped with a Bose sound system but it doesn t have a bluethooth connection and you will need this cable ,"{'t forget': [3.25, -0.5], 'room': [2.5, 0], 'bose sound system': [4.0, 0], 'shower cabin': [3.5, 0], 'music': [0.375, -0.25], 'bathroom': [1.75, 0], 'connection': [0.75, 0], 'cozy bath': [3.5, 0], 'proof': [1.75, 0], 'cable jack': [1.5, -0.5]}"
174,Apex Temple Court Hotel, Excellent location good standard of hotel Professional service,"{'location': [1.5, 0], 'standard': [1.5, 0]}"
176,Apex Temple Court Hotel, Location was reason for booking and was spot on Staff were all very pleasant Time was spent out and about as we were visiting friends and family so didn t use facilities or eat breakfast Room was clean and tidy with great black out curtains Check out swift and easy ,"{'location': [1.75, -0.375], 'reason': [1.75, -0.375], 'staff': [1.75, -0.375], 'breakfast room': [3.5, -0.75], 't use': [3.5, -0.75], 'time': [1.75, -0.375], 'family': [1.75, -0.375], 'booking': [1.75, -0.375], 'tidy': [1.75, -0.375]}"
177,Apex Temple Court Hotel, Location of the hotel is fantastic The hotel itself has a lovely atmosphere and the staff are very helpful The room was massive particularly considering its location in London The breakfast had a great selection and was perfect to prepare for a long day walking around London ,"{'room': [1.375, 0], 'staff': [1.375, 0], 'london': [1.375, 0], 'hotel': [1.375, 0], 'location': [1.375, 0], 'selection': [1.375, 0], 'day': [1.375, 0], 'breakfast': [1.375, 0]}"
178,Apex Temple Court Hotel, Great hotel in good location fairly near theatres St Paul s Tate Modern The City River Thames The Shard half hour walk to Trafalgar Square a bit more to Soho Oxford St Nice to walk along the river to Westminster or get a boat 10 15min taxi from St Pancras Fairly quiet district for London but not much happening in the immediate location ,"{'shard half hour walk': [0, -3.0], 'westminster': [0, -0.75], 'st pancras fairly': [1.0, -2.75], 'river': [0.5, -1.0], 'district': [0, -0.75], 'st paul s tate modern': [2.5, -2.75], 'city river': [1.0, -1.25], 'trafalgar square': [0, -1.5], 'soho oxford st nice': [0.5, -3.25], 'taxi': [0, -0.75], 'location': [0.5, -1.0], 'boat': [0, -0.75], 'hotel': [0.5, -0.25], 'happening': [0, -0.75], 'london': [0, -0.75]}"
179,Apex Temple Court Hotel, Given special permission to use hotel parking alongside blue badge holding parents many thanks for this convenience ,"{'badge': [0, 0], 'permission': [0, 0], 'hotel': [0, 0]}"
180,Apex Temple Court Hotel, Room was very spacious and clean with all the facilities that you need Bed was very comfortable as well The surroundings is very quiet as the hotel has a innercourt and is not directly situated on a busy road,"{'room': [1.0, -0.75], 'innercourt': [0.875, -0.625], 'bed': [1.0, -0.75], 'hotel': [0.875, -0.625]}"
181,The Park Grand London Paddington, The size of the room,"{'size': [0, 0]}"
182,The Park Grand London Paddington, Nothing special,{}
183,The Park Grand London Paddington, The front desk and entrance was very nice and the staff were helpful ,"{'front desk': [1.5, 0], 'entrance': [0.75, 0]}"
184,The Park Grand London Paddington, they transfer me to The Park Grand London Kensington due to maintance work at The Park Grand London Paddington they offer me a free ride to Kensington a soft drink while im i watting the taxi and includ the breakfast in my stay which that im not applied for it Park Grand London Kensington newer and bigger than Park Grand London Paddington Underground station 3 mins walk People at reception and generally everyone I interacted with was super friendly and helpful which makes a difference the handy phone that comes with the room The bathroom is clean with all required supplies There is a microwave and small separate room for cloths and iron ,"{'room': [0.375, 0], 'bathroom': [0, 0], 'breakfast': [0.5, -0.625], 'ride': [0, -0.25], 'kensington': [0.875, -0.875], 'park grand london paddington': [3.5, -2.5], 'im i': [1.75, -1.75], 'phone': [0.375, 0], 'stay': [0.5, -0.625], 'everyone': [0.375, 0], 'drink': [0, -0.25], 'microwave': [0, 0], 'taxi': [0.5, -0.625], 'park grand london kensington': [3.5, -2.75], 'park grand london paddington underground station': [4.5, -3.75], 'reception': [0.5, -0.625], 'work': [0.375, 0], 'difference': [0.375, 0]}"
185,The Park Grand London Paddington, This is my second time staying at this Hotel The first time I was on business This time it was for mini holiday The bed is very comfortable The room and bathroom very clean and spacious The location is very convenient Very good selection at breakfast ,"{'room': [0.5, 0], 'mini holiday': [0, 0], 'bathroom': [0.5, 0], 'time': [0, 0], 'location': [2.125, 0], 'business': [0, 0], 'selection': [2.125, 0], 'bed': [0.5, -0.75], 'hotel': [0, 0]}"
186,The Park Grand London Paddington, Very handy location to Paddington Station and Heathrow Express and in the pretty Paddington area This hotel is clean and comfortable if a little dated The staff are wonderful thank you And the English breakfast was excellent Not a fancy and extensive breakfast buffet but a tasty and well cooked meal Equally food on the room service menu was tasty and fresh Good Indian and European cuisine ,"{'good indian': [3.25, -2.75], 'heathrow express': [4.25, -2.0], 'tasty': [1.625, -1.375], 'room service menu': [4.875, -4.125], 'meal': [1.625, -1.375], 'breakfast buffet': [3.25, -2.75], 'food': [1.625, -1.375], 'staff': [2.125, -1.0], 'fancy': [1.625, -1.375], 'location': [2.125, -1.0], 'english breakfast': [3.25, -2.75], 'paddington area': [4.25, -2.0], 'hotel': [2.125, -1.0], 'paddington station': [4.25, -2.0]}"
187,The Park Grand London Paddington, The room was small but we knew that before arrival I just didn t think that paying an extra 40 for a room that I wasn t going to spend much time in warranted it The wardrobe didn t mark sense as it was so thin you couldn t actually hang anything in it The hairdryer was in the wardrobe and the mirror on the back of the door that didn t open wide enough to look in to blow dry your hair Parking was a nightmare as you have to park 10 minutes away and trudge back with your luggage This wasn t mentioned before booking I wish the hotel would have had a link to booking which is under Waitrose and was 40 for two night The price wasn t that bad it was just the nightmare of walking back and forth with luggage The location was good close to Paddington and Lancaster Gate we walked to oxford street as it was so close and the weather was fab ,"{'room': [0.625, 0], 'wardrobe didn t mark sense': [5.875, -0.875], 'wardrobe': [0.625, 0], 'link': [0, 0], 'wasn t': [3.25, -1.75], 'door': [0.25, 0], 'anything': [0.375, 0], 'paddington': [1.125, 0], 'night': [1.375, 0], 'forth': [1.125, 0], 'nightmare': [1.375, 0], 'time': [0, 0], 'hairdryer': [0.25, 0], 't': [3.25, -0.875], 'hotel': [0, 0], 'back': [1.375, 0], 'street': [0.875, 0], 'arrival': [0.625, 0], 'waitrose': [0, 0], 'hair parking': [0.5, 0], 'mirror': [0.25, 0], 'location': [1.125, 0], 'luggage': [1.375, 0], 'lancaster gate': [2.25, 0], 'price wasn t': [3.25, -2.625]}"
188,The Park Grand London Paddington, The free breakfast every morning that came with the stay The staff in the restaurant were wonderful ,"{'morning': [0.75, 0], 'staff': [0.75, 0], 'stay': [0.75, 0], 'breakfast': [0.75, 0]}"
189,The Park Grand London Paddington, Hyde Park and public transport are in close proximity we used Bayswater station everyday Staff is really helpful supported us in printing boarding passes The pub across the street is great The room is small but probably good for value because of price and location ,"{'room': [0.5, 0], 'price': [0.5, 0], 'proximity': [0, 0], 'street': [0, 0], 'pub': [0, 0], 'transport': [0, 0], 'hyde park': [0, 0], 'bayswater station everyday staff': [0.875, 0], 'value': [0.5, 0], 'boarding': [0.875, 0]}"
190,The Park Grand London Paddington, The drinks at the bar were very reasonably priced,{}
191,The Park Grand London Paddington, Great transport system nearby especially from the airport LHR Customer service is excellent,"{'great transport system': [3.0, 0]}"
192,The Park Grand London Paddington, Location shower,{}
193,The Park Grand London Paddington, Good Aircon Comfy bed Brilliant shower,"{'aircon comfy': [1.0, 0]}"
194,The Park Grand London Paddington, Good shower and toiletries Air conditioning Big window and pleasant outlook Towels and sheets clean and good quality Apples available at reception Iron available from reception desk ,"{'shower': [1.125, 0], 'big window': [2.25, 0], 'air': [1.125, 0], 'outlook towels': [2.25, 0], 'reception iron': [2.5, 0], 'quality apples': [2.5, 0]}"
195,The Park Grand London Paddington, Good location Staff was good ,{}
196,The Park Grand London Paddington, location not too bad access to tube and rail confusing with another hotel in group within close proximity went to book into wrong hotel interior bit tired and then we were in the room at the top of the building so bit dark Bathroom facilities strange with wet room set up but not ideal with curtain and door so close ,"{'book': [0.375, -3.75], 'room': [0.375, -3.75], 'bathroom': [0.375, -3.75], 'bit': [0.375, -3.75], 'curtain': [0.375, -3.75], 'proximity': [0.375, -3.75], 'access': [0.375, -3.75], 'location': [0.375, -3.75], 'group': [0.375, -3.75], 'building': [0.375, -3.75], 'top': [0.375, -3.75], 'hotel': [0.375, -3.75]}"
197,The Park Grand London Paddington, The space is good for a family of 4 The bathroom is clean with all required supplies There is a microwave and small separate room for cloths and iron ,"{'space': [0.5, 0], 'room': [0, 0], 'microwave': [0, 0], 'family': [0.5, 0], 'bathroom': [0, 0]}"
198,The Park Grand London Paddington, The hotel location is excellent It is super close to the Paddington train and tube stations It is near to places to eat food stores and pharmacy You walk three streets south and you are next to the Hyde Park Kensington Gardens gate I had breakfast at their restaurant two days in a row and the food was good and a good selection of items My room did not have an iron and ironing board in it but it was made available by the staff right away ,"{'hotel location': [2.0, 0], 'iron': [1.0, -0.625], 'my room': [2.0, -1.25], 'food': [1.0, -0.625], 'paddington train': [0, 0], 'selection': [1.0, -0.625], 'hyde park kensington gardens gate': [5.0, -3.125], 'pharmacy': [0, 0], 'row': [1.0, -0.625], 'board': [1.0, -0.625], 'tube': [0, 0], 'restaurant': [1.0, -0.625]}"
199,The Park Grand London Paddington, Very friendly helpful staff Room was cleaned well Beautiful building in a quiet area of Paddington with good facilities nearby,"{'beautiful building': [2.75, 0], 'area': [1.375, 0], 'staff room': [2.75, 0]}"
200,The Park Grand London Paddington, The room was very modern and clean Staff were also very friendly and made our stay extra special ,"{'room': [1.125, 0], 'staff': [1.125, 0]}"
201,The Park Grand London Paddington, Convenient location very clean and modern good coffee helpful staff,"{'location': [1.875, 0], 'coffee': [1.875, 0]}"
202,The Park Grand London Paddington, The location was perfect,{}
203,The Park Grand London Paddington, I expected a budget room to be small but this really was v small cramped Not enough space for suitcase shower area adequate Hidden wardrobe drop down desk useful Bed however very comfortable indeed Staff exceptionally helpful which made up for the minute sized room ,"{'space': [1.125, -1.875], 'minute': [1.125, -1.875], 'area': [1.125, -1.875], 'hidden wardrobe drop': [3.375, -5.625], 'budget room': [2.25, -3.75], 'suitcase': [1.125, -1.875], 'desk': [1.125, -1.875], 'staff': [1.125, -1.875], 'bed': [1.125, -1.875]}"
204,The Park Grand London Paddington, Rooms way to small bathrooms also small ,{}
205,The Park Grand London Paddington, Quiet pleasant location a few minutes walk from Paddington station Good sized room and bathroom ,"{'location': [0.625, 0], 'paddington station good': [1.875, 0], 'room': [0.625, 0]}"
207,The Park Grand London Paddington, A great hotel in a beautiful old terrace building We had a club room which was modern and spacious with large windows Bed was amazingly comfortable Walking distance to Paddngton Station and Heathrow Express ,"{'distance': [0.875, -0.75], 'terrace building': [1.75, -1.5], 'bed': [0.875, -0.75], 'paddngton station': [1.75, -1.5], 'club room': [1.75, -1.5], 'hotel': [0.875, -0.75]}"
208,The Park Grand London Paddington, Very helpful and accomodating staff Lovely to have a valet to carry my bag to and from my room and get me a cab The concierge desk was very helpful Was given free breakfast each day after having to be moved to their sister hotel just a short distance down the street due to a broken boiler in my booked hotel ,"{'room': [1.0, 0], 'bag': [1.0, 0], 'breakfast': [2.125, 0], 'cab': [1.0, 0], 'distance': [2.125, 0], 'valet': [1.0, 0], 'day': [2.125, 0], 'staff': [1.0, 0], 'concierge desk': [4.25, 0], 'was': [2.125, 0], 'hotel': [2.125, 0], 'boiler': [2.125, 0], 'street': [2.125, 0]}"
209,The Park Grand London Paddington, Short walk from Kensington Gardens and Paddington Station Lots of coffee shops and restaurants in the vicinity Helpful friendly staff at reception Especially the lady from Armenia Was first put into a small rooftop room but then given a bigger room on lower floor with huge ceilings ,"{'room': [0.875, -0.25], 'vicinity': [0, 0], 'coffee': [0, 0], 'lady': [0.875, -0.25], 'kensington': [0, 0], 'armenia was': [1.75, -0.5], 'reception': [0.875, -0.25], 'paddington station lots': [0, 0], 'staff': [0.875, -0.25], 'rooftop room': [1.75, -0.5], 'walk': [0, 0]}"
211,The Park Grand London Paddington, Good location within 10 minutes walk of Paddington Quiet location with great facilities and pleasant staff Easy access to travel points and only 5 minutes from Kensington Gardens ,"{'location': [1.125, 0], 'staff easy access': [3.375, 0], 'paddington quiet location': [3.375, 0]}"
212,The Park Grand London Paddington, I booked a triple room The room is quiet large and has a balcony The location is really nice Near the paddinton station just about 5 minutes walk and hyde park The staff are very very friendly and they will try to meet all your need I order two room services and the food is really delicious breakfast is also very nice I will definitely choose this hotel again when I go to London next time ,"{'room': [2.5, 0], 'breakfast': [2.5, 0], 'need': [2.5, 0], 'food': [2.5, 0], 'balcony': [0, 0], 'staff': [2.5, 0], 'london': [2.5, 0], 'location': [0.625, 0], 'paddinton station': [1.25, 0], 'order': [2.5, 0], 'park': [0.625, 0], 'hotel': [2.5, 0]}"
213,The Park Grand London Paddington, The friendliness of the staff was exceptional They wanted our visit to be the best and my daughter who was 6 months pregnant received special treatment Breakfast was very good ,"{'daughter': [0.25, 0], 'staff': [0.25, 0], 'friendliness': [0.25, 0], 'visit': [0.25, 0]}"
214,The Park Grand London Paddington, The bed is super comfortable I could close the curtains and make it very dark make tea in the morning in teapot there And of course it is very clean ,"{'morning': [0.5, -1.25], 'bed': [0.5, -1.25], 'teapot': [0.5, -1.25], 'make tea': [1.0, -2.5]}"
215,The Park Grand London Paddington, A compact but well furnished room with a very comfortable bed good lights and an excellent shower ,"{'compact': [2.0, -0.75], 'room': [2.0, -0.75], 'bed': [2.0, -0.75]}"
216,The Park Grand London Paddington, A nice hotel in a very convenient location Very clean People at reception and generally everyone I interacted with was super friendly and helpful which makes a difference I also appreciated the welcome plate of fruits as well as the handy phone that comes with the room Very convenient especially when your own phone is behaving weird in other countries All this made up for the price which I initally thought a bit too much and I still booked an offer that was supposed to be largely discounted 120 a night for a compact room If I paid the full amount I would think it is overpriced but I guess that s London in the summer ,"{'location very': [3.5, -1.75], 'bit': [1.75, -0.875], 'room very convenient': [5.25, -2.625], 'room': [1.75, -0.875], 'reception': [1.75, -0.875], 'phone': [1.75, -0.875], 'everyone': [1.75, -0.875], 'night': [0, 0], 'difference': [1.75, -0.875], 'amount': [0, 0], 'offer': [0, 0], 'weird': [1.75, -0.875], 'london': [0, 0], 'hotel': [1.75, -0.875], 'plate': [1.75, -0.875], 'price': [1.75, -0.875]}"
217,The Park Grand London Paddington, The club room is comfortable for 2 Clean and bright The room seems to be newly furbished The toilet is spacious too ,"{'room': [0, -1.0], 'club room': [0, -2.0], 'clean': [0, -1.0]}"
218,The Park Grand London Paddington, OMG What a tiny tiny room You could not walk around the bed without walking sideways No room for anything No barfridge Appalling really when they tout themselves as being boutique ,"{'room': [0, -0.625], 'omg': [0, 0], 'bed': [0, -0.625], 'anything no barfridge': [0, -0.625]}"
220,The Park Grand London Paddington, The staff were friendly and polite The location was ideal for commuting in and out of the centre of London easily There were ample places to go for a meal within walking distance ,"{'location': [0.25, 0], 'staff': [0.625, 0], 'meal': [0.25, 0], 'london': [0.25, 0], 'centre': [0.25, 0]}"
221,The Park Grand London Paddington, the hotel was close to the underground and some nice resturants,"{'hotel': [0, 0]}"
222,The Park Grand London Paddington, The rooms have been renovated to look quite nice and are representative of the photos but they re not at all functional to stay in They ve placed extra furniture items in the room in an attempt to correct this but that just makes the spaces cluttered and not all of the additional items are functional either i e additional robe placed in dark entrance mostly filled up by the ironing board hard to see into damp smell emanating from it and makes accessing room awkward I ended up checking out after one night as I was there for 5 days and had work commitments so ease of use with the room was important to me ,"{'room': [2.5, -3.125], 'furniture': [2.5, -3.125], 'ease': [2.5, -3.125], 'room awkward': [5.0, -6.25], 'entrance': [2.5, -3.125], 'attempt': [2.5, -3.125], 'night': [2.5, -3.125], 'robe': [2.5, -3.125], 'board': [2.5, -3.125], 'smell': [2.5, -3.125], 'use': [2.5, -3.125], 'work': [2.5, -3.125]}"
223,The Park Grand London Paddington, The room was huge and very quiet,{}
224,The Park Grand London Paddington, A mostly very young staff were very helpful and added to the stay ,"{'staff': [1.25, -0.125]}"
225,The Park Grand London Paddington, Staff in Restaurant were very helpful at Breakfast with Gluten Free Diet Selection of food was very good ,"{'gluten free diet selection': [7.0, 0], 'staff': [1.75, 0], 'breakfast': [1.75, 0], 'restaurant': [1.75, 0]}"
226,The Park Grand London Paddington, Friendly staff and easy to walk to the tube clean rooms,"{'staff': [0.75, 0]}"
227,The Park Grand London Paddington, We actually stayed at Grand Royal Hyde Park as there was a problem with the boiler at Paddington one To make up for transfer they gave us free drinks while we waited for the taxi they gave us and gave us free breakfasts at the Hyde Park It was a beautiful hotel ornate turned wood stained glass windows beautiful painted ceilings like being in Rome the staff were polite happy to help and give us information looked after our bag on checkout day until we left London at 7pm Breakfast was in a beautiful large room plentiful full cooked or continental fresh croissants anything you could possibly want The room was very comfortable complete with kettle and fridge and wardrobe View wasn t great overlooked an alley but it was light and quiet no street noise All manner of shops and cafes and the tube just around the corner And Hyde park 50 metres away I would definitely recommend this to others ,"{'kettle': [1.25, -1.625], 'room': [1.25, -1.625], 'breakfast': [1.625, -1.625], 'glass': [2.125, 0], 'wood': [2.125, 0], 'hyde park': [0.75, 0], 'anything': [1.25, -1.625], 'paddington': [0.375, 0], 'cafes': [0.625, 0], 'staff': [2.125, 0], 'transfer': [0.375, 0], 'london': [2.125, 0], 'problem': [0.375, 0], 'tube': [0.625, 0], 'boiler': [0.375, 0], 'bag': [2.125, 0], 'street': [0, 0], 'fridge': [1.25, -1.625], 'information': [2.125, 0], 'hotel ornate': [4.25, 0], 'grand royal hyde park': [1.5, 0], 'rome': [2.125, 0], 'wardrobe view wasn': [3.75, -4.875], 'taxi': [0.375, 0], 'alley': [0, 0], 'manner': [0.625, 0], 'checkout day': [4.25, 0], 'corner': [0.625, 0]}"
228,The Park Grand London Paddington, Paddington is a beautiful suburb and unbelievably quiet for London Rooms are a reasonable size for London and the window could actually be opened which makes a nice change Complimentary fruit water was also a nice touch Definitely would return to this hotel,"{'london rooms': [3.25, -1.0], 'london': [1.625, -0.5], 'suburb': [1.625, -0.5], 'change complimentary fruit water': [6.5, -2.0], 'size': [1.625, -0.5], 'window': [1.625, -0.5], 'paddington': [1.625, -0.5], 'touch': [1.625, -0.5]}"
